crop_cd	manu_gubun	cho_exp	icept	exp_slope	fert_exp	min_base	mid_base	max_base	min_fert	mid_fert1	mid_fert2	max_fert	base_fert	pre_fert	post_fert				
00042	2	1	27.55	-4.567	EC								0.52						
00042	3	1	41.163	-0.067	p2o5								1						
00042	4	1	36.658	-64.489	k/sqrt(ca+mg)								0.52						
00042	5	1	27.55	-0.091	NO3N								0.5						
00043	1	2				2		3	2000	1500									
00043	2	2				2		3	24	20		16	0.4						
00043	3	1	30.88	-0.05	p2o5								1						
00043	4	1	29.305	-51.554	k/sqrt(ca+mg)								0.5						
00044	1	2				2		3	2000	1500									
00044	2	1	20.3	-3.365	EC								0.4						
00044	3	1	30.88	-0.05	p2o5								1						
00044	4	1	29.305	-51.554	k/sqrt(ca+mg)								0.5						
00044	5	1	20.3	-0.067	NO3N								0.5						
00046	1	2				2		3	2000	1500									
00046	2	2				1.5		2.5	36	30		24	0.45						
00046	3	1	19.065	-0.02	p2o5								1						
00046	4	1	40.058	-72.158	k/sqrt(ca+mg)								0.35						
00047	1	2				2		3	2000	1500									
00047	2	1	28.42	-4.711	EC								0.45						
00047	3	1	19.066	-0.02	p2o5								1						
00047	4	1	40.059	-72.158	k/sqrt(ca+mg)								0.35						
00047	5	1	28.42	-0.094	NO3N(gg)								0.5						
00048	1	2				2		3	2000	1500									
00048	2	2				2		3	30	25		20	0.4						
00048	3	1	97.624	-34.398	log(p2o5)								1						
00048	4	1	35.783	-100.94	k/sqrt(ca+mg)								0.65						
00049	1	2				2		3	2000	1500									
00049	2	1	18.178	-4.552	EC								0.4						
00049	3	1	97.624	-34.398	log(p2o5)								1						
00049	4	1	35.783	-100.94	k/sqrt(ca+mg)								0.65						
00049	5	1	18.178	-0.091	NO3N								0.4						
00050	1	2				2		3	2000	1500									
00050	2	2				2		3	24	20		16	0.5						
00050	3	1	20.337	-0.023	p2o5								1						
00050	4	1	23.59	-34.269	k/sqrt(ca+mg)								0.45						
00051	1	2				2		3	2000	1500									
00051	2	1	32.77	-5.431	EC								0.5						
00051	3	1	20.337	-0.023	p2o5								1						
00051	4	1	23.59	-34.269	k/sqrt(ca+mg)								0.45						
00051	5	1	32.77	-0.108	NO3N								0.5						
00052	1	2				2		3	2000	1500									
00052	2	2				2		3	17.5	14.6		11.7	1						
00052	3	1	73.553	-25.917	log(p2o5)								1						
00052	4	1	31.565	-89.293	k/sqrt(ca+mg)								1						
00053	1	2				2		3	2000	1500									
00053	2	1	14.424	-3.612	EC								1						
00053	3	1	73.553	-25.917	log(p2o5)								1						
00053	4	1	31.565	-89.293	k/sqrt(ca+mg)								1						
00053	5	1	14.424	-0.072	NO3N								1						
00054	1	2				2.5		3.5	2000	1500									
00054	2	2				2		3	27.2	23		18.8	0.35						
00054	3	1	105.648	-37.226	log(p2o5)								1						
00054	4	1	30.401	-85.509	k/sqrt(ca+mg)								0.55						
00055	1	2				2.5		3.5	2000	1500									
00055	2	1	30.429	-7.62	EC								0.35						
00055	3	1	105.648	-37.226	log(p2o5)								1						
00055	4	1	30.401	-85.509	k/sqrt(ca+mg)								0.55						
00055	5	1	30.429	-0.082	NO3N								0.35						
00056	1	2				2.5		3.5	2000	1500									
00056	2	2				2		3	42.6	36.1		29.4	0.5						
00056	3	1	181.883	-64.057	log(p2o5)								1						
00056	4	1	39.537	-112.046	k/sqrt(ca+mg)								0.5						
00057	1	2				2.5		3.5	2000	1500									
00057	2	1	38.776	-6.427	EC								0.5						
00057	3	1	181.883	-64.057	log(p2o5)								1						
00057	4	1	39.537	-112.046	k/sqrt(ca+mg)								0.5						
00057	5	1	38.776	-0.128	NO3N								0.5						
00058	1	2				2.5		3.5	.	1500									
00058	2	1	38.036	-9.525	EC								0.5						
00058	3	1	61.517	-21.676	log(p2o5)								1						
00058	4	1	56.112	-158.24	k/sqrt(ca+mg)								0.5						
00058	5	1	38.036	-0.19	NO3N								0.5						
00059	1	2				2.5		3.5	2000	1500									
00059	2	1	52.338	-13.106	EC								0.5						
00059	3	1	128.388	-45.217	log(p2o5)								1						
00059	4	1	29.592	-83.543	k/sqrt(ca+mg)								0.5						
00059	5	1	52.338	-0.261	NO3N								0.5						
00060	1	2				2.5		3.5	2000	1500									
00060	2	1	27.995	-7.01	EC								0.5						
00060	3	1	45.469	-16.021	log(p2o5)								1						
00060	4	1	38.001	-107.132	k/sqrt(ca+mg)								0.5						
00060	5	1	27.955	-0.14	NO3N								0.5						
00061	1	2				2.5		3.5	1000	700		500							
00061	2	2				1.5		2.5	2	2		2	0.6						
00061	3	2				350	550	750	1	1	1	1	1						
00061	4	2				0.5	0.8	1.1	1	1	1	1	0.6						
00062	1	2				2.5		3.5	1500	1000		800							
00062	2	2				1.5		2.5	4	3		2	0.6						
00062	3	2				350	550	750	2	1.5	1	1	1						
00062	4	2				0.5	0.8	1.1	3	2.5	2	2	0.6						
00063	1	2				2.5		3.5	2000	1500		1000							
00063	2	2				1.5		2.5	8	6.5		5	0.6						
00063	3	2				350	550	750	5	3.5	2	2	1						
00063	4	2				0.5	0.8	1.1	5	4	3	3	0.6						
00064	1	2				2.5		3.5	2500	2000		1500							
00064	2	2				1.5		2.5	15	12.5		10	0.6						
00064	3	2				350	550	750	8	6.5	5	3	1						
00064	4	2				0.5	0.8	1.1	12	10	6.5	3	0.6						
00065	1	2				2.5		3.5	3000	2500		2000							
00065	2	2				1.5		2.5	20	17.5		15	0.6						
00065	3	2				350	550	750	12	10	6.5	3	1						
00065	4	2				0.5	0.8	1.1	20	16	9.5	3	0.6						
00066	1	2				2.5		3.5	1000	700		500							
00066	2	2				1.5		2.5	2	2		2	0.7						
00066	3	2				350	550	750	1	1	1	1	1						
00066	4	2				0.5	0.8	1.1	1	1	1	1	0.5						
00067	1	2				2.5		3.5	1500	1000		800							
00067	2	2				1.5		2.5	6	4.5		3	0.7						
00067	3	2				350	550	750	4	3.5	3	3	1						
00067	4	2				0.5	0.8	1.1	5	4	3	3	0.5						
00068	1	2				2.5		3.5	2000	1500		1000							
00068	2	2				1.5		2.5	15	12.5		10	0.7						
00068	3	2				350	550	750	8	6.5	5	3	1						
00068	4	2				0.5	0.8	1.1	12	10	6.5	3	0.5						
00069	1	2				2.5		3.5	2500	2000		1500							
00069	2	2				1.5		2.5	20	18.5		17	0.7						
00069	3	2				350	550	750	13	10.5	7	3	1						
00069	4	2				0.5	0.8	1.1	20	17.5	11	3	0.5						
00070	1	2				2.5		3.5	3000	2500		2000							
00070	2	2				1.5		2.5	25	22.5		20	0.7						
00070	3	2				350	550	750	18	15.5	9.5	3	1						
00070	4	2				0.5	0.8	1.1	25	22.5	13	3	0.5						
00071	1	2				2.5		3.5	1000	500		500							
00071	2	2				1.5		2.5	2.5	2		1.5	0.6						
00071	3	2				200	400	600	1.5	1	1	1	1						
00071	4	2				0.3	0.6	1	1.5	1	1	1	0.5						
00072	1	2				2.5		3.5	1500	1000		500							
00072	2	2				1.5		2.5	6.5	4		3	0.6						
00072	3	2				200	400	600	4	3	2	2	1						
00072	4	2				0.3	0.6	1	4	3	2	2	0.5						
00073	1	2				2.5		3.5	2000	1500		1000							
00073	2	2				1.5		2.5	10.5	8.5		6.5	0.6						
00073	3	2				200	400	600	6.5	5	4	3	1						
00073	4	2				0.3	0.6	1	8.5	6.5	5	3	0.5						
00074	1	2				2.5		3.5	2500	2000		1500							
00074	2	2				1.5		2.5	19.5	15.5		11.5	0.6						
00074	3	2				200	400	600	10.6	8.5	6.5	3	1						
00074	4	2				0.3	0.6	1	15.6	12.5	8	3	0.5						
00075	1	2				2.5		3.5	1000	500		500							
00075	2	2				1.5		2.5	2.5	2		1.5	0.7						
00075	3	2				200	400	600	1.5	1	1	1	1						
00075	4	2				0.3	0.6	1	1.5	1	1	1	0.6						
00076	1	2				2.5		3.5	1500	1000		500							
00076	2	2				1.5		2.5	6.5	4		3	0.7						
00076	3	2				200	400	600	3	2.5	2	2	1						
00076	4	2				0.3	0.6	1	4	3	2	2	0.6						
00077	1	2				2.5		3.5	2000	1500		1000							
00077	2	2				1.5		2.5	11	9		7	0.7						
00077	3	2				200	400	600	6	5	4	3	1						
00077	4	2				0.3	0.6	1	9	7.5	5.5	3	0.6						
00078	1	2				2.5		3.5	2500	2000		1500							
00078	2	2				1.5		2.5	18	15.5		13	0.7						
00078	3	2				200	400	600	10	8.5	6	3	1						
00078	4	2				0.3	0.6	1	15	12.5	8	3	0.6						
00081	1	2				1.5		2.5	2000	1500		1000							
00081	2	3											0.5	12					
00081	3	3											1	12					
00081	4	3											0.5	12	12				
00082	1	3											2000						
00082	2	3											0.3	8	17				
00082	3	3											0.3	3	8				
00082	4	3											0.3	5	10				
00083	1	3											2000						
00083	2	3											0.4	12	18				
00083	3	3											0.4	5	8				
00083	4	3											0.4	7	11				
00091	1	3												500					
00091	2	3											0.5	2.9	5.7				
00091	3	3											1	5					
00091	4	3											0.3	1.3	4.4				
00092	1	3												1000					
00092	2	3											0.5	5.7	11.4				
00092	3	3											1	10					
00092	4	3											0.3	2.6	8.8				
00093	1	3												1500					
00093	2	3											0.5	7.4	14.8				
00093	3	3											1	14					
00093	4	3											0.3	3.7	12.2				
00094	1	3												2000					
00094	2	3											0.5	10.3	20.5				
00094	3	3											1	17.5					
00094	4	3											0.3	5.1	17				
00095	1	3												1000					
00095	2	3											0.5	6.5	13				
00095	3	3											1	10					
00095	4	3											0.3	3.9	13				
00096	1	3												1500					
00096	2	3											0.5	10	20				
00096	3	3											1	15					
00096	4	3											0.3	6	20				
00097	1	3												2000					
00097	2	3											0.5	12.5	25				
00097	3	3											1	20					
00097	4	3											0.3	7.5	25				
00098	1	3												2500					
00098	2	3											0.5	15	30				
00098	3	3											1	25					
00098	4	3											0.3	7.5	25				
00099	1	3												500					
00099	2	3											0.5	2.7	5.4				
00099	3	3											1	4.5					
00099	4	3											0.3	1.1	3.6				
00100	1	3												1000					
00100	2	3											0.5	5.4	10.7				
00100	3	3											1	9					
00100	4	3											0.3	2.2	7.2				
00101	1	3												1500					
00101	2	3											0.5	6.6	13.1				
00101	3	3											1	12.6					
00101	4	3											0.3	3.2	10.7				
00102	1	3												2000					
00102	2	3											0.5	8.3	16.6				
00102	3	3											1	16.2					
00102	4	3											0.3	4	13.4				
00103	1	3												1000					
00103	2	3											0.5	6.5	13				
00103	3	3											1	10					
00103	4	3											0.3	2.4	8				
00104	1	3												1500					
00104	2	3											0.5	8.5	17				
00104	3	3											1	15					
00104	4	3											0.3	3.9	13				
00105	1	3												2000					
00105	2	3											0.5	10	20				
00105	3	3											1	18					
00105	4	3											0.3	4.5	15				
00106	1	3												2500					
00106	2	3											0.5	12.5	25				
00106	3	3											1	20					
00106	4	3											0.3	6	20				
00107	1	3												500					
00107	2	3											1	0.9					
00107	3	3											1	0.6					
00107	4	3											1	0.5					
00108	1	3												500					
00108	2	3											1	5.2					
00108	3	3											1	5.1					
00108	4	3											1	4.8					
00109	1	3												500					
00109	2	3											1	5.2					
00109	3	3											1	5.1					
00109	4	3											1	4.8					
00110	1	3												500					
00110	2	3											0.6	6.1					
00110	3	3											1	5.5					
00110	4	3											0.63	5					
00111	1	3												1000					
00111	2	3											0.6	7.9					
00111	3	3											1	5.5					
00111	4	3											0.5	5.3	5.3				
00112	1	3												1000					
00112	2	3											0.6	10.7					
00112	3	3											1	10.6					
00112	4	3											0.5	7.9	7.9				
00113	1	3												1500					
00113	2	3											0.6	16					
00113	3	3											1	16.2					
00113	4	3											0.5	10.8	10.8				
00114	1	3												2000					
00114	2	3											0.5	21.3					
00114	3	3											1	26.799					
00114	4	3											0.5	16.1	16.1				
00115	1	3												2500					
00115	2	3											0.6	26.7					
00115	3	3											1	32.299					
00115	4	3											0.5	21.4	21.399				
00121	1	3											1	6000					
00121	2	3											0.31	18					
00121	3	3											0.31	18					
00121	4	3											0.38	18					
00122	1	2				2.5		3	2500	2000									
00122	2	1	18.49	-0.108	NO3N								0.25	5.5					
00122	3	1	17.8	-0.026	p2o5								1	22					
00122	4	1	14.13	-33.25	k/sqrt(ca+mg)								0.25	5					
00123	1	2				2.5		3	2500	2000									
00123	2	1	18.49	-0.108	NO3N								0.25	12.5					
00123	3	1	17.8	-0.026	p2o5								1	17					
00123	4	1	14.13	-33.25	k/sqrt(ca+mg)								0.25	4.2					
00124	1	2				2.5		3	3500	3000									
00124	2	1	54.412	-13.369	EC								0.06						
00124	3	1	128	-0.16	p2o5								1						
00124	4	1	155.84	-259.74	k/sqrt(ca+mg)								0.04						
00124	5	1	54.348	-0.272	NO3N								0.06						
00125	1	2				2.5		3	1500	1000									
00125	2	1	22.39	-13.203	EC										20				
00125	3	1	28.68	-0.031	p2o5								1	12					
00125	4	1	12.78	-28.41	k/sqrt(ca+mg)								0.5	6					
00125	5	1	22.39	-0.263	NO3N										20				
00126	1	3											1	1000					
00126	2	3											0.75	9					
00126	3	3											1	9					
00126	4	3											0.75	9					
00127	1	3											1	1000					
00127	2	3											1	20					
00127	3	3											1	20					
00127	4	3											1	15					
00128	1	3											1	1500					
00128	2	3											1	9.8					
00128	3	3											1	5.3					
00128	4	3											1	18.8					
00129	1	3											1	1500					
00129	2	3											1	17.6					
00129	3	3											1	9.5					
00129	4	3											1	33.8					
00130	1	2				10		20	2000	1500									
00130	2	2				2		3	15.3	14		12.7							
00130	3	1	29.645	-0.078	p2o5								1						
00130	4	1	15.599	-14.828	k								1						
00131	1	2				10		20	2000	1500									
00131	2	2				2		3	15.3	14		12.7							
00131	3	1	29.645	-0.078	p2o5								1						
00131	4	1	15.599	-14.828	k								1						
00132	1	3												2000					
00132	2	3											0.5	4					
00132	3	3											1	4					
00132	4	3											1	4					
00133	1	3												2000					
00133	2	3											1	12					
00133	3	3											1	12					
00133	4	3											1	16					
00134	1	3												1500					
00134	2	3											0.5	6					
00134	3	3											1	10.5					
00134	4	3											1	9					
00135	1	3												1500					
00135	2	3											0.4	14					
00135	3	3											1	30					
00135	4	3											1	50					
00136	1	3												1000					
00136	2	3											0.5	7.5					
00136	3	3											1	12					
00136	4	3											1	15					
00137	1	2				2.5		3	3500	3000				 					
00137	2	1	32.671	-3.69	om								0.57						
00137	3	1	17.504	-0.021	p2o5								1						
00137	4	1	28.003	-28.428	k/sqrt(ca+mg)								0.7						
00138	1	2				2.5		3.5	2000	1500									
00138	2	1	20.996	-5.258	EC								0.5						
00138	3	1	69.541	-24.503	log(p2o5)								1						
00138	4	1	28.626	-80.752	k/sqrt(ca+mg)								0.5						
00138	5	1	20.996	-0.105	NO3N								0.5						
00139	1	3											1	2000					
00139	2	3											0.5	7					
00139	3	3											1	12					
00139	4	3											1	8					
00140	1	2				2.5		3	2000	1500									
00140	2	1	17.771	-3.69	om								0.5						
00140	3	1	10.402	-0.012	p2o5								1						
00140	4	1	10.755	-10.918	k/sqrt(ca+mg)								0.5						
00141	1	3											1	1200					
00141	2	3											0.5	6.4					
00141	3	3											1	12					
00141	4	3											1	6.1					
00142	1	3											1	1500					
00142	2	3											0.5	3					
00142	3	3											1	6					
00142	4	3											1	10					
00143	1	3											1	1000					
00143	2	3											0.5	5					
00143	3	3											1	10					
00143	4	3											1	10					
00144	1	3											1	1500					
00144	2	3											0.4	5					
00144	3	3											1	6					
00144	4	3											1	5					
00145	1	2				2.5		3	2000	1500									
00145	2	1	38.036	-5.27	om								0.4						
00145	3	1	31.356	-0.018	p2o5								1						
00145	4	1	29.729	-16.152	k								0.5						
00146	1	3											1	2000					
00146	2	3											0.4	7.2					
00146	3	3											1	6					
00146	4	3											1	6					
00147	1	3											1	700					
00147	2	3											0.5	4					
00147	3	3											1	6					
00147	4	3											0.5	5					
00148	1	3											1	1500					
00148	2	3											0.7	4.2					
00148	3	3											1	6					
00148	4	3											1	6					
00149	1	3												2000					
00149	2	3											1	8					
00149	3	3											1	20					
00149	4	3											1	7					
00150	1	3												2000					
00150	2	3													21				
00150	3	3													15				
00150	4	3													18				
00151	1	3												2000					
00151	2	3											0.5	10					
00151	3	3											1	15					
00151	4	3											1	15					
00152	1	3																	
00152	2	3											0.5	23					
00152	3	3											1	23					
00152	4	3											1	12					
00153	1	2				2		3	2000	1500									
00153	2	2				2		3	18.7	15.6		12.5	0.3						
00153	3	1	54.83	-19.32	log(p2o5)								1						
00153	4	1	19.68	-55.905	k/sqrt(ca+mg)								0.4						
00154	1	2				2.5		3.5	2000	1500									
00154	2	1	27.048	-6.774	EC								0.4						
00154	3	1	51.971	-0.084	p2o5								1						
00154	4	1	47.395	-99	k/sqrt(ca+mg)								0.5						
00154	5	1	27.048	-0.135	NO3N								0.4						
00155	1	2				2.5		3.5	2000	1500									
00155	2	1	27.368	-6.584	EC								0.4						
00155	3	1	63.52	-0.103	p2o5								1						
00155	4	1	45.686	-95.431	k/sqrt(ca+mg)								0.5						
00155	5	1	27.048	-0.131	NO3N								0.4						
00156	1	2				10		20	2000	1500		1000							
00156	2	2				10		20	10.9	10		9.1	0.4						
00156	3	1	37.604	-12.286	log(p2o5)								1						
00156	4	1			10^(1.285-1.608*k)								1						
00157	1	2				2		6	2000	1500		1000							
00157	2	2				2		6	10.9	10		9.1	0.4						
00157	3	1	37.604	-12.286	log(p2o5)								1						
00157	4	1			10^(1.285-1.608*k)								1						
00158	1	2				10		20	1500	1200		800							
00158	2	2				10		20	6.5	6		5.5	1						
00158	3	1	55.778	-22.956	log(p2o5)								1						
00158	4	1			10^(1.123-1.328*k)								1						
00159	1	2				2		6	1500	1200		800							
00159	2	2				2		6	6.5	6		5.5	1						
00159	3	1	55.778	-22.956	log(p2o5)								1						
00159	4	1			10^(1.123-1.328*k)								1						
00160	1	2				10		20	2000	1500		1000							
00160	2	2				10		20	9.8	9		8.2	1						
00160	3	1	8.227	-0.004	p2o5								1						
00160	4	1	19.971	-4.709	k								1						
00161	1	2				2		6	2000	1500		1000							
00161	2	2				2		6	9.8	9		8.2	1						
00161	3	1	8.227	-0.004	p2o5								1						
00161	4	1	19.971	-4.709	k								1						
00162	1	2				10		20	1500	1000		800							
00162	2	2				10		20	15.5	14.2		12.9	1						
00162	3	1	18.337	-0.02	p2o5								1						
00162	4	1	23.879	-11.16	k								1						
00163	1	2				2		6	1500	1000		800							
00163	2	2				2		6	19.6	18		16.4	1						
00163	3	1	22.921	-0.025	p2o5								1						
00163	4	1	23.878	-11.159	k								1						
00164	1	2				10		20	2000	1500		1000							
00164	2	2				10		20	16.4	15		13.6	0.5						
00164	3	1	21.41	-0.056	p2o5								1						
00164	4	1	18.805	-29.2	k								0.7						
00165	1	2				2		6	2000	1500		1000							
00165	2	2				2		6	16.4	15		13.6	0.5						
00165	3	1	21.41	-0.056	p2o5								1						
00165	4	1	18.805	-29.2	k								0.7						
00166	1	2				10		20	1500	1200		1000							
