crop_cd	crop_nm	prop_acidl	prop_acidh	prop_oml	prop_omh	prop_phal	prop_phah	prop_kl	prop_kh	prop_cal	prop_cah	prop_mgl	prop_mgh	prop_cecl	prop_cech	prop_selcl	prop_selch	crop_gbn	del_yn	del_ymd	crop_seqno	userin	prop_nol	prop_noh	prop_sil	prop_sih		
00014	양파(시설)	6	6.5	2.5	3.5	350	450	0.7	0.8	6	7	2	2.5	10	15	0	2	06	N			N	100	200				
00015	파(노지)	6	6.5	2	3	350	450	0.5	0.6	5	6	1.5	2			0	2	07	N			N						
00016	파(시설)	6	6.5	2	3	350	450	0.5	0.6	5	6	1.5	2			0	2	07	N			N	100	200				
00017	감자(봄재배)	5.5	6.2	2	3	250	350	0.5	0.6	4.5	5.5	1.5	2	10	15	0	2	03	N			N						
00018	감자(가을재배)	5.5	6.2	2	3	250	350	0.5	0.6	4.5	5.5	1.5	2	10	15	0	2	03	N			N						
00019	고추(노지)	6	6.5	2.5	3.5	450	550	0.7	0.8	5	6	1.5	2	10	15	0	2	04	N			N						
00020	고추(시설)	6	6.5	2.5	3.5	450	550	0.7	0.8	5	6	1.5	2	10	15	0	2	04	N			N	70	200				
00021	마늘(노지)	6.5	7	2.5	3.5	300	400	0.7	0.8	6	7	2	2.5	10	15	0	2	06	N			N						
00022	마늘(시설)	6.5	7	2.5	3.5	300	400	0.7	0.8	6	7	2	2.5	10	15	0	2	06	N			N	100	200				
00023	생강(노지)	6	6.5	2	3	250	350	0.5	0.6	5	6	1.5	2	10	15	0	2	05	N			N						
00024	생강(시설)	6	6.5	2	3	250	350	0.5	0.6	5	6	1.5	2			0	2	05	N			N	50	150				
00025	토마토(노지)	6	6.5	2	3	400	500	0.7	0.8	5	6	1.5	2	10	15	0	3	04	N			N						
00026	토마토(시설)	6	6.5	2	3	400	500	0.7	0.8	5	6	1.5	2	10	15	0	3	04	N			N	70	200				
00027	오이(노지)	6	6.5	2	3	400	500	0.7	0.8	5	6	1.5	2	10	15	0	2	04	N			N						
00028	오이(시설)	6	6.5	2	3	400	500	0.7	0.8	5	6	1.5	2	10	15	0	2	04	N			N	70	200				
00029	상추(노지)	6.5	7	2	3	250	400	0.4	0.6	6	7	2	2.5	10	15	0	2	07	N			N						
00030	상추(시설)	6.5	7	2	3	250	400	0.4	0.6	6	7	2	2.5	10	15	0	2	07	N			N	50	200				
00031	딸기(노지)	6	6.5	2	3	350	450	0.7	0.8	5	6	1.5	2	10	15	0	1.2	04	N			N						
00032	딸기(시설)	6	6.5	2	3	350	450	0.7	0.8	5	6	1.5	2	10	15	0	1.2	04	N			N	50	150				
00033	당근(노지)	6	6.5	2	3	250	350	0.55	0.65	5	6	1.5	2	10	15	0	2	05	N			N						
00034	당근(시설)	6	6.5	2	3	250	350	0.55	0.65	5	6	1.5	2	10	15	0	2	05	N			N	100	200				
00035	무(노지)	6	6.5	2	3	350	450	0.6	0.7	5	6	1.5	2	10	15	0	2	05	N			N						
00036	무(시설)	6	6.5	2	3	350	450	0.6	0.7	5	6	1.5	2	10	15	0	2	05	N			N	50	150				
00037	배추(노지)	6	6.5	2.5	3.5	350	450	0.65	0.8	5	6	1.5	2	10	15	0	2	07	N			N						
00038	배추(시설)	6	6.5	2.5	3.5	350	450	0.65	0.8	5	6	1.5	2			0	2	07	N			N	50	200				
00039	양배추(노지)	6	6.5	2.5	3.5	350	450	0.7	0.8	5	6	1.5	2	10	15	0	2	07	N			N						
00040	양배추(시설)	6	6.5	2.5	3.5	350	450	0.7	0.8	5	6	1.5	2	10	15	0	2	07	N			N	50	200				
00041	참외(노지)	6	6.5	2	3	350	450	0.7	0.8	5	6	1.5	2	10	15	0	2	04	N			N						
00042	참외(시설)	6	6.5	2	3	350	450	0.7	0.8	5	6	1.5	2	10	15	0	2	04	N			N	50	150				
00043	수박(노지)	6	6.5	2	3	350	450	0.7	0.8	5	6	1.5	2	10	15	0	2	04	N			N						
00044	수박(시설)	6	6.5	2	3	350	450	0.7	0.8	5	6	1.5	2	10	15	0	2	04	N			N	50	150				
00046	가지(노지)	6	6.5	2	3	400	500	0.7	0.8	5	6	1.5	2	10	15	0	2	04	N			N						
00047	가지(시설)	6	6.5	2	3	400	500	0.7	0.8	5	6	1.5	2	10	15	0	2	04	N			N	70	200				
00048	시금치(노지)	6.5	7	2	3	350	450	0.45	0.6	6	7	2	2.5	10	15	0	2	07	N			N						
00049	시금치(시설)	6.5	7	2	3	350	450	0.45	0.6	6	7	2	2.5	10	15	0	2	07	N			N	50	150				
00050	호박(노지)	6	6.5	2	3	350	450	0.7	0.8	5	6	1.5	2	10	15	0	2	04	N			N						
00051	호박(시설)	6	6.5	2	3	350	450	0.7	0.8	5	6	1.5	2	10	15	0	2	04	N			N	70	200				
00052	쑥갓(노지)	6	6.5	2	3	250	400	0.4	0.6	5	6	1.5	2	10	15	0	2	07	N			N						
00053	쑥갓(시설)	6	6.5	2	3	250	400	0.4	0.6	5	6	1.5	2	10	15	0	2	07	N			N	50	150				
00054	셀러리(노지)	6	6.5	2.5	3.5	200	350	0.55	0.7	5	6	1.5	2	10	15	0	2	07	N			N						
00055	셀러리(시설)	6	6.5	2.5	3.5	200	350	0.55	0.7	5	6	1.5	2	10	15	0	2	07	N			N	50	200				
00056	부추(노지)	6	6.5	2.5	3.5	350	450	0.7	0.8	5	6	1.5	2	10	15	0	2	07	N			N						
00057	부추(시설)	6	6.5	2.5	3.5	350	450	0.7	0.8	5	6	1.5	2	10	15	0	2	07	N			N	50	200				
00058	엔다이브	6	6.5	2.5	3.5	350	450	0.4	0.8	5	6	1.5	2	10	15	0	2	07	N		0	N	50	150				
00059	오너멘탈케일	6	6.5	2.5	3.5	350	450	0.5	0.65	5	6	1.5	2	10	15	0	2	07	N		0	N	50	150				
00060	스위트팬넬	6	6.5	2.5	3.5	350	450	0.65	0.8	5	6	1.5	2	10	15	0	2	07	N		0	N	50	150				
00061	사과(1-4년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00062	사과(5-9년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00063	사과(10-14년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00064	사과(15-19년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00065	사과(20년생 이상)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00066	배(1-4년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00067	배(5-9년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00068	배(10-14년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00069	배(15-19년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00070	배(20년생 이상)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00071	포도(1-2년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00072	포도(3-4년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00073	포도(5-10년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00074	포도(11년생 이상)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00075	복숭아(1-2년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00076	복숭아(3-4년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00077	복숭아(5-10년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00078	복숭아(11년생 이상)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00081	단감	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2			0	2	09	N			N						
00082	뽕나무(신규조성)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	12	N			N						
00083	뽕나무(밀식기성)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	12	N			N						
00091	감귤온주(화산)1-2년	5.5	6.5	10.1	15	200	300	0.5	1.3	5	6	1.5	2	10	15	0	2	09	N			N						
00092	감귤온주(화산)3-7년	5.5	6.5	10.1	15	200	300	0.5	1.3	5	6	1.5	2	10	15	0	2	09	N			N						
00093	감귤온주(화산)8-12년	5.5	6.5	10.1	15	200	300	0.5	1.3	5	6	1.5	2	10	15	0	2	09	N			N						
00094	감귤온주(화산)13-17년	5.5	6.5	10.1	15	200	300	0.5	1.3	5	6	1.5	2	10	15	0	2	09	N			N						
00095	감귤만감(화산)1-5년	5.5	6.5	10.1	15	200	300	0.5	1.3	5	6	1.5	2	10	15	0	2	09	N			N						
00096	감귤만감(화산)6-10년	5.5	6.5	10.1	15	200	300	0.5	1.3	5	6	1.5	2	10	15	0	2	09	N			N						
00097	감귤만감(화산)11-19년	5.5	6.5	10.1	15	200	300	0.5	1.3	5	6	1.5	2	10	15	0	2	09	N			N						
00098	감귤만감(화산)20년이상	5.5	6.5	10.1	15	200	300	0.5	1.3	5	6	1.5	2	10	15	0	2	09	N			N						
00099	감귤온주(비화)1-2년	5.5	6.5	2.1	5	200	300	0.5	0.7	5	6	1.5	2	10	15	0	2	09	N			N						
00100	감귤온주(비화)3-7년	5.5	6.5	2.1	5	200	300	0.5	0.7	5	6	1.5	2	10	15	0	2	09	N			N						
00101	감귤온주(비화)8-12년	5.5	6.5	2.1	5	200	300	0.5	0.7	5	6	1.5	2	10	15	0	2	09	N			N						
00102	감귤온주(비화)13-17년	5.5	6.5	2.1	5	200	300	0.5	0.7	5	6	1.5	2	10	15	0	2	09	N			N						
00103	감귤만감(비화)1-5년	5.5	6.5	2.1	5	200	300	0.5	0.7	5	6	1.5	2	10	15	0	2	09	N			N						
00104	감귤만감(비화)6-10년	5.5	6.5	2.1	5	200	300	0.5	0.7	5	6	1.5	2	10	15	0	2	09	N			N						
00105	감귤만감(비화)11-19년	5.5	6.5	2.1	5	200	300	0.5	0.7	5	6	1.5	2	10	15	0	2	09	N			N						
00106	감귤만감(비화)20년이상	5.5	6.5	2.1	5	200	300	0.5	0.7	5	6	1.5	2	10	15	0	2	09	N			N						
00107	밤나무(1년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00108	밤나무(2년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00109	밤나무(3년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00110	밤나무(4년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00111	밤나무(5-6년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00112	밤나무(7-9년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00113	밤나무(10-14년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00114	밤나무(15-19년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00115	밤나무(20-25년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00121	장미	6	7	2.5	3.5	350	500	0.7	0.8	5	7	1.5	2	10	15	0	3	11	N			N						
00122	국화(온실절화)	6	7	2.5	3.5	350	500	0.7	0.8	5	7	1.5	2	10	15	0	2	11	N			N						
00123	국화(노지재배)	6	7	2.5	3.5	350	500	0.7	0.8	5	7	1.5	2	10	15	0	2	11	N			N						
00124	카네이션(시설재배)	6	7	2.5	3.5	500	650	0.74	0.92	5	7	1.5	2	10	15	1.4	2	11	N			N						
00125	구근류(시설재배)	6	7	2.5	3.5	340	500	0.7	1	5	7	1.5	2.5	10	15	0	3	11	N			N						
00126	1년초(절화)	6	7	2.5	3.5	350	500	0.7	0.85	5	7	1.5	2.5	10	15	0	2	11	N			N						
00127	1년초(노지)	6	7	2.5	3.5	350	500	0.7	0.85	5	7	1.5	2.5	10	15	0	2	11	N			N						
00128	연초(황색종)	6	6.5	2	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	12	N			N						
00129	연초(버이리종)	6	6.5	2	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	12	N			N						
00130	유채(고정품종)점파	6	6.5	11	15	150	250	0.45	0.85	6	7	1.5	2	10	15	0	2	02	Y		18	N						
00131	유채(1대잡종)점파	6	6.5	11	15	150	250	0.45	0.85	6	7	1.5	2	10	15	0	2	02	Y		19	N						
00132	백하수오	6	6.5	2.5	3.5	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N			N						
00133	지황(재래종)	6	6.5	2.5	3.5	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N			N						
00134	길경(도라지)	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N			N						
00135	반하	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N			N						
00136	구약감자	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N			N						
00137	구기자	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N			N						
00138	서양냉이	6	6.5	2.5	3.5	350	450	0.4	0.6	5	6	1.5	2	10	15	0	2	07	N		0	N	50	150				
00139	적하수오	6	6.5	2	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N			N						
00140	황기	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N			N						
00141	백지	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N			N						
00142	황련	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N			N						
00143	스테비아	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N			N						
00144	박하	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N			N						
00145	맥문동	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N			N						
00146	율무	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N			N						
00147	향부자	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N			N						
00148	더덕	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N			N						
00149	목초(조성용)	6	7	2.5	3.5	200	500	0.3	0.6	5	6	1.5	2	10	15	0	2	12	N			N						
00150	목초(관리용)	6	7	2.5	3.5	200	500	0.3	0.6	5	6	1.5	2	10	15	0	2	12	N			N						
00151	청예옥수수	6	6.5	2.5	3	200	250	0.45	0.55	5	6	1.5	2	10	15	0	2	12	N			N						
00152	청예옥수수(화산회)															0	2	12	Y			N						
00153	잎들깨(노지)	6	6.5	2	3	250	350	0.4	0.6	5	6	1.5	2	10	15	0	2	07	N			N						
00154	참취(시설)	6	6.5	2.5	3.5	400	500	0.7	0.8	5	6	1.5	2	10	15	0	2	08	N		0	N						
00155	곰취(시설)	6	6.5	2.5	3.5	400	500	0.7	0.8	5	6	1.5	2	10	15	0	2	08	N		0	N						
00156	보리(화산회토)	6.5	7	11	15	150	250	0.45	0.55	6	7	2	2.5			0	2	01	N		4	N						
00157	보리(비화산회토)	6.5	7	3	5	150	250	0.45	0.55	6	7	2	2.5			0	2	01	N		5	N						
00158	대두(화산회토)	6.5	7	11	15	150	250	0.45	0.55	6	7	2	2.5			0	2	01	N		14	N						
00159	대두(비화산회토)	6.5	7	3	5	150	250	0.45	0.55	6	7	2	2.5			0	2	01	N		15	N						
00160	고구마(화산회토)	6	6.5	11	15	150	250	0.6	0.7	5	6	1.5	2			0	2	03	N			N						
00161	고구마(비화산회토)	6	6.5	3	5	150	250	0.6	0.7	5	6	1.5	2			0	2	03	N			N						
00162	"감자(봄겨울재배, 화산회토)"	5.5	6	11	15	150	250	0.6	0.7	5	6	1.5	2			0	2	03	N			N						
00163	"감자(가을재배, 비화산회토)"	5.5	6	3	5	150	250	0.6	0.7	5	6	1.5	2			0	2	03	N			N						
00164	밭벼(화산회토)	6	6.5	11	15	80	120	0.25	0.3	5	6	1.5	2			0	2	01	N		16	N						
00165	밭벼(비화산회토)	6	6.5	3	5	80	120	0.25	0.3	5	6	1.5	2			0	2	01	N		17	N						
00166	참깨(화산회토)	6	6.5	11	15	150	250	0.45	0.55	5	6	1.5	2			0	2	02	N		4	N						
00167	참깨(비화산회토)	6	6.5	3	5	150	250	0.45	0.55	5	6	1.5	2			0	2	02	N		5	N						
00168	"땅콩(기경지,화산회토)"	6	6.5	11	15	150	250	0.45	0.85	6	7	1.5	2			0	2	02	N		8	N						
00169	"땅콩(기경지,비화산회토)"	6	6.5	3	5	150	250	0.45	0.85	6	7	1.5	2			0	2	02	N		9	N						
00170	"감자(봄겨울재배, 비화산회토)"	5.5	6	3	5	150	250	0.6	0.7	5	6	1.5	2			0	2	03	N			N						
00171	"감자(가을재배, 화산회토)"	5.5	6	11	15	150	250	0.6	0.7	5	6	1.5	2			0	2	03	N			N						
00172	"땅콩(2모작, 화산회토)"	6	6.5	11	15	150	250	0.45	0.85	6	7	1.5	2			0	2	02	N		10	N						
00173	"땅콩(2모작, 비화산회토)"	6	6.5	3	5	150	250	0.45	0.85	6	7	1.5	2			0	2	02	N		11	N						
00174	유채(화산회토)	6	6.5	11	15	150	250	0.45	0.85	6	7	1.5	2	10	15	0	2	02	N		12	N						
00175	유채(비화산회토)	6	6.5	3	5	150	250	0.45	0.85	6	7	1.5	2	10	15	0	2	02	N		13	N						
00176	마늘(화산회토)	6.5	7	11	15	300	400	0.7	0.8	6	7	2	2.5	10	15	0	2	06	N			N						
00177	마늘(비화산회토)	6.5	7	3	5	300	400	0.7	0.8	6	7	2	2.5			0	2	06	N			N						
00178	"배추(고냉지,노지)"	6	6.5	11	15	400	500	0.7	0.8	5	6	1.5	2			0	2	07	N			N						
00179	"배추(고냉지,시설)"	6	6.5	11	15	400	500	0.7	0.8	5	6	1.5	2			0	2	14	Y			N						
00180	곤달비(시설)	6	6.5	2.5	3.5	400	500	0.7	0.8	5	6	1.5	2	10	15	0	2	08	N		0	N						
00181	피망(시설)	6	6.5	2.5	3.5	450	550	0.7	0.8	5	6	1.5	2	10	15	0	2	04	N			N	70	200				
00182	꽈리고추(시설)	6	6.5	2.5	3.5	450	550	0.7	0.8	5	6	1.5	2	10	15	0	2	04	N			N	70	200				
00183	방울토마토(시설)	6	6.5	2.5	3.5	400	500	0.7	0.99	5	6	1.5	2	10	15	0	3	04	N			N	70	200				
00184	취나물(시설)	6	6.5	2	3	400	500	0.7	0.8	5	6	1.5	2			0	2	13	N			N	100	200				
00185	머위(시설)	6	6.5	2.5	3.5	450	550	0.7	0.8	5	6	1.5	2	10	15	0	2	08	N			N	100	200				
00186	"양상추(시설,평야지)"	6	6.5	2	3	350	450	0.4	0.6	5	6	1.5	2	10	15	0	2	07	N			N	50	150				
00187	열무(시설)	6	6.5	2	3	250	350	0.55	0.65	5	6	1.5	2	10	15	0	2	05	N			N	50	150				
00188	비트(시설)	6	6.5	2	3	250	350	0.5	0.6	5	6	1.5	2	10	15	0	2	05	N			N	50	150				
00189	"양상추(시설,고랭지)"	6	6.5	2	3	350	450	0.4	0.6	5	6	1.5	2			0	2	07	N			N	50	150				
00190	잎들깨(시설)	6	6.5	2	3	250	350	0.4	0.6	5	6	1.5	2	10	15	0	2	07	N			N	50	150				
00191	밭미나리(시설)	6	6.5	2	3	350	450	0.4	0.6	5	6	1.5	2	10	15	0	2	07	N			N	50	150				
00192	치커리(시설)	6	6.5	2.5	3.5	350	450	0.7	0.8	5	6	1.5	2	10	15	0	2	07	N			N	50	150				
00193	케일(시설)	6	6.5	2.5	3.5	350	450	0.4	0.6	5	6	1.5	2	10	15	0	2	07	N			N	50	150				
00194	브로콜리(시설)	6	6.5	2.5	3.5	350	450	0.4	0.6	5	6	1.5	2	10	15	0	2	07	N			N	50	150				
00195	콜리플라워(시설)	6	6.5	2.5	3.5	350	450	0.4	0.6	5	6	1.5	2	10	15	0	2	07	N			N	50	150				
00196	삼엽채(시설)	6	6.5	2	3	350	450	0.4	0.6	5	6	1.5	2	10	15	0	2	07	N			N	50	150				
00197	단감(1-2년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2			0	2	09	N			N						
00198	단감(3-4년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2			0	2	09	N			N						
00199	단감(5-6년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2			0	2	09	N			N						
00200	단감(7-8년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2			0	2	09	N			N						
00201	단감(9-10년생)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2			0	2	09	N			N						
00202	단감(11년생 이상)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2			0	2	09	N			N						
00203	참깨(노지)	6	6.5	2	3	150	250	0.45	0.55	5	6	1.5	2			0	2	02	Y		14	N						
00204	땅콩(노지)	6	6.5	2	3	150	250	0.45	0.85	6	7	1.5	2			0	2	02	Y		16	N						
00205	누룩치(시설)	6	6.5	2.5	3.5	400	500	0.7	0.8	5	6	1.5	2	10	15	0	2	08	N		0	N						
00206	고구마(노지)	6	6.5	2	3	250	350	0.55	0.65	5	6	1.5	2	10	15	0	2	03	Y			N						
00207	감자(노지)	5.5	6.2	2	3	250	350	0.5	0.6	4.5	5.5	1.5	2	10	15	0	2	03	N			N						
00208	신선초(시설)	6	6.5	2.5	3.5	350	450	0.4	0.6	5	6	1.5	2	10	15	0	2	07	N			N	50	150				
00209	당근(화산회토)	6	6.5	11	15	250	350	0.55	0.65	5	6	1.5	2	10	15	0	2	05	N			N						
00210	당근(비화산회토)	6	6.5	3	5	250	350	0.55	0.65	5	6	1.5	2	10	15	0	2	05	N			N						
00211	무(화산회토)	6	6.5	11	15	350	450	0.7	0.8	5	6	1.5	2			0	2	05	N			N						
00212	무(비화산회토)	6	6.5	3	5	350	450	0.7	0.8	5	6	1.5	2			0	2	05	N			N						
00213	"양파(봄재배, 화산회토)"	6	6.5	11	15	350	450	0.5	0.6	5	6	1.5	2			0	2	06	N			N						
00214	"양파(봄재배, 비화산회토)"	6	6.5	3	5	350	450	0.5	0.6	5	6	1.5	2			0	2	06	N			N						
00215	"양파(가을재배, 화산회토)"	6	6.5	11	15	350	450	0.5	0.6	5	6	1.5	2			0	2	06	N			N						
00216	"양파(가을재배, 비화산회토)"	6	6.5	3	5	350	450	0.5	0.6	5	6	1.5	2			0	2	06	N			N						
00217	땅콩(기경지)	6.5	7	2	3	150	250	0.45	0.85	6	7	1.5	2	10	15	0	2	02	Y		17	N						
00218	대과맥(노지)	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5			0	2	01	Y		25	N						
00219	맥주맥	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5			0	2	01	Y		26	N						
00220	"콩(기경지, 노지)"	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15	0	2	01	Y		8	N						
00221	보통옥수수	6	6.5	2	3	150	250	0.45	0.55	5	6	1.5	2.5			0	2	01	Y		13	N						
00222	고구마(기경지)	6	6.5	2	3	250	350	0.55	0.65	5	6	1.5	2	10	15	0	2	03	Y			N						
00223	"감귤(1~2년생, 화산회토)"	5.5	6.5	10.1	15	200	300	0.5	1.3	5	6	1.5	2	10	15	0	2	09	N			N						
00224	"감귤(3~7년생, 화산회토)"	5.5	6.5	10.1	15	200	300	0.5	1.3	5	6	1.5	2	10	15	0	2	09	N			N						
00225	"감귤(8~12년생, 화산회토)"	5.5	6.5	10.1	15	200	300	0.5	1.3	5	6	1.5	2	10	15	0	2	09	N			N						
00226	"감귤(13~17년생, 화산회토)"	5.5	6.5	10.1	15	200	300	0.5	1.3	5	6	1.5	2	10	15	0	2	09	N			N						
00227	"감귤(1~2년생, 비화산회토)"	5.5	6.5	2.1	5	200	300	0.5	0.7	5	6	1.5	2	10	15	0	2	09	N			N						
00228	"감귤(3~7년생, 비화산회토)"	5.5	6.5	2.1	5	200	300	0.5	0.7	5	6	1.5	2	10	15	0	2	09	N			N						
00229	"감귤(8~12년생, 비화산회토)"	5.5	6.5	2.1	5	200	300	0.5	0.7	5	6	1.5	2	10	15	0	2	09	N			N						
00230	"감귤(13~17년생, 비화산회토)"	5.5	6.5	2.1	5	200	300	0.5	0.7	5	6	1.5	2	10	15	0	2	09	N			N						
00231	참깨(기경지)	6	6.5	2	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	02	Y		15	N						
00232	참나물(시설)	6	6.5	2.5	3.5	400	500	0.7	0.8	5	6	1.5	2	10	15	0	2	08	N		0	N						
00233	콩(노지)	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5			0	2	01	Y		10	N						
00234	모시대(시설)	6	6.5	2.5	3.5	400	500	0.7	0.8	5	6	1.5	2	10	15	0	2	08	N		0	N						
